DATE,Max,Avg,Min
1/1/21,58,50,43
1/2/21,53,51.9,50
1/3/21,53,51.1,50
1/4/21,62,55.9,49
1/5/21,55,50.7,45
1/6/21,55,47.9,42
1/7/21,57,51.9,48
1/8/21,57,53,48
1/9/21,61,49.7,44
1/10/21,57,50.7,44
1/11/21,58,51.8,46
1/12/21,58,53.5,49
1/13/21,68,57,50
1/14/21,67,55.1,51
1/15/21,58,56.8,56
1/16/21,66,54.8,49
1/17/21,73,58.7,49
1/18/21,74,62.9,51
1/19/21,62,58.4,49
1/20/21,65,55.1,48
1/21/21,57,49.7,43
1/22/21,54,51.5,49
1/23/21,57,51.2,46
1/24/21,53,50,46
1/25/21,54,49.3,46
1/26/21,52,46.4,41
1/27/21,55,51.6,48
1/28/21,54,51.5,48
1/29/21,56,49.8,43
1/30/21,57,52,47
1/31/21,61,55,51
2/1/21,64,55.4,49
2/2/21,60,55,51
2/3/21,58,52,44
2/4/21,62,53.2,46
2/5/21,65,51.9,43
2/6/21,65,53.4,46
2/7/21,66,53,45
2/8/21,58,51.5,44
2/9/21,59,54.4,52
2/10/21,62,54,50
2/11/21,57,53.5,49
2/12/21,59,54.5,52
2/13/21,59,54.6,51
2/14/21,57,54.3,50
2/15/21,58,55.6,52
2/16/21,58,52.7,49
2/17/21,61,52.3,44
2/18/21,64,53.6,43
2/19/21,59,54.5,52
2/20/21,59,53.5,50
2/21/21,64,53.5,45
2/22/21,71,58,48
2/23/21,76,59.7,50
2/24/21,70,58.4,49
2/25/21,65,56.8,50
2/26/21,60,53,48
2/27/21,61,52.6,45
2/28/21,69,57,48
3/1/21,69,55.7,45
3/2/21,64,54.3,45
3/3/21,62,54,49
3/4/21,62,54,45
3/5/21,64,55.6,47
3/6/21,57,51.7,47
3/7/21,59,52,45
3/8/21,59,53.1,50
3/9/21,59,52.4,48
3/10/21,55,49.4,46
3/11/21,57,49.6,44
3/12/21,64,53.2,44
3/13/21,56,51.9,50
3/14/21,58,51.7,47
3/15/21,54,49.3,45
3/16/21,56,49.7,44
3/17/21,56,50.2,44
3/18/21,58,54,51
3/19/21,60,55,52
3/20/21,57,52.7,49
3/21/21,61,52.6,45
3/22/21,60,53.4,49
3/23/21,65,57.5,48
3/24/21,68,58.3,51
3/25/21,60,54,49
3/26/21,70,55.9,46
3/27/21,77,58,48
3/28/21,68,55.3,48
3/29/21,62,54.3,48
3/30/21,77,62.8,50
3/31/21,80,66.6,54
4/1/21,83,64.8,55
4/2/21,62,54.8,51
4/3/21,61,54.9,51
4/4/21,61,55.4,52
4/5/21,56,53.6,52
4/6/21,62,54.4,50
4/7/21,59,53.4,51
4/8/21,61,55,51
4/9/21,58,53,50
4/10/21,63,54.8,49
4/11/21,66,54.6,48
4/12/21,65,55.7,48
4/13/21,60,54.6,51
4/14/21,68,56.9,49
4/15/21,64,55.3,48
4/16/21,60,53.1,49
4/17/21,62,55,51
4/18/21,73,57.9,48
4/19/21,62,55.4,50
4/20/21,59,54.3,53
4/21/21,64,55.7,51
